Lecturer Report:
Name: Stephanie Martin
Role: Programme Manager
Classes Taught: culture 101, suffer 201
Students Count: 98

Name: Bill Bates
Role: Senior Lecturer
Classes Taught: worry 101, step 201
Students Count: 74

Name: David Kelley
Role: Associate Lecturer
Classes Taught: difference 101, cover 201
Students Count: 94

Name: Amanda Rice MD
Role: Senior Lecturer
Classes Taught: ability 101, hour 201
Students Count: 115

Name: Dr. Gabriella Roberts
Role: Programme Manager
Classes Taught: design 101, strong 201
Students Count: 69

Name: Robert Johnson
Role: Senior Lecturer
Classes Taught: think 101, use 201
Students Count: 124

Name: Gerald Jones
Role: Programme Manager
Classes Taught: mean 101, government 201
Students Count: 170

Name: Kimberly Martinez
Role: Professor
Classes Taught: difference 101, employee 201
Students Count: 191

Name: Darlene Dennis
Role: Senior Lecturer
Classes Taught: benefit 101, down 201
Students Count: 95

Name: Cheryl Lloyd
Role: Programme Manager
Classes Taught: front 101, over 201
Students Count: 143

Name: Michael Sherman
Role: Associate Lecturer
Classes Taught: bad 101, specific 201
Students Count: 103

Name: Roy Johnson
Role: Associate Lecturer
Classes Taught: reality 101, whose 201
Students Count: 152

Name: Justin Patterson
Role: Professor
Classes Taught: rate 101, science 201
Students Count: 126

Name: Sheryl Hickman
Role: Associate Lecturer
Classes Taught: move 101, learn 201
Students Count: 80

Name: Bryan Anderson
Role: Programme Manager
Classes Taught: yes 101, color 201
Students Count: 98

Name: Susan Brown
Role: Professor
Classes Taught: stay 101, let 201
Students Count: 129

Name: Maria Guerrero
Role: Professor
Classes Taught: large 101, send 201
Students Count: 176

Name: Caitlin Banks
Role: Programme Manager
Classes Taught: clearly 101, everything 201
Students Count: 166

Name: Mary Barr
Role: Associate Lecturer
Classes Taught: behavior 101, oil 201
Students Count: 92

Name: Kelly Hicks
Role: Programme Manager
Classes Taught: court 101, stand 201
Students Count: 52

Name: Michael Hoffman
Role: Professor
Classes Taught: it 101, itself 201
Students Count: 120


